#{"t_start": 1782230560.1994348, "env_id": "BipedalWalker-v3"}
r,l,t
-108.805032,76,1.067971
-108.764284,48,1.156782
-118.739948,1600,3.952164
-105.03783,1600,6.744585
-121.030902,95,6.915134
-104.424659,1600,9.696384
-110.937977,1600,12.497545
-113.35358,1600,15.284524
-109.222355,1600,18.062798
-129.829805,481,22.449916
-102.96858,50,22.548084
-111.19725,68,22.678941
-99.108132,112,22.888959
-117.523337,312,23.434018
-104.720508,49,23.527528
-103.986697,44,23.610531
-103.722068,53,23.712042
-103.670265,43,23.802632
-102.386403,53,23.897142
-103.276766,51,23.992651
-102.610113,65,24.113164
-101.87447,61,24.229179
-104.253382,48,24.318182
-103.774522,65,24.441199
-99.930267,62,24.562709
-116.806798,71,24.705224
-119.489923,83,24.85424
-102.805663,46,24.946749
-120.809846,75,25.083136
-101.78818,55,25.185646
-104.492975,51,25.284156
-101.569214,57,25.390665
-106.689645,80,25.533685
-104.642734,68,25.664195
-115.70653,63,25.778704
-104.863907,61,25.894215
-105.646393,70,26.023237
-103.005699,57,26.128998
-116.580928,51,26.222507
-102.191218,53,26.324018
-104.538395,47,26.412021
-122.671995,108,26.673586
-125.214959,91,26.839605
-104.942477,50,26.936115
-103.357708,49,27.031625
-105.559176,49,27.126136
-103.810554,63,27.238646
-102.176588,50,27.333981
-105.945696,49,27.427491
-119.489804,69,27.56
-104.892256,74,27.69651
-103.877808,47,27.783019
-103.800122,61,27.894297
-104.824264,51,27.987807
-104.326162,83,28.137826
-104.447772,52,28.233182
-106.214246,43,28.314186
-107.027364,64,28.430202
-102.998312,60,28.545712
-106.749949,42,28.624304
-129.121539,1600,31.386955
-110.068826,58,31.493464
-109.59036,51,31.585974
-108.162992,44,31.671483
-140.907125,1600,34.428754
-113.395071,42,34.509758
-127.05716,1600,37.260996
-103.909042,51,37.355506
-103.725898,55,37.458723
-105.691582,69,37.584232
-117.163104,1600,41.206191
-124.33028,472,42.018
-103.024223,59,42.12351
-105.283523,78,42.264529
-104.829901,55,42.372041
-105.324251,46,42.45855
-112.562315,52,42.557059
-164.418466,767,43.850393
-110.410527,1600,46.592075
-115.141315,70,46.722587
-105.221417,45,46.809094
-104.540693,48,46.900603
-105.595492,44,46.980112
-105.206506,43,47.061621
-104.998898,45,47.14713
-107.891399,40,47.223133
-132.761074,408,47.922702
-102.982552,48,48.011211
-103.680178,58,48.11872
-104.153645,43,48.197227
-123.1335,324,48.762524
-111.083864,52,48.865034
-104.389872,45,48.949543
-101.811081,62,49.061794
-109.521607,49,49.1567
-100.830814,94,49.331883
-105.395913,147,49.607952
-102.05446,61,49.723402
-110.25339,56,49.829845
-102.116576,57,49.939634
-109.817173,50,50.038135
-103.482686,52,50.137194
-105.154829,64,50.257656
-109.383276,56,50.369445
-101.709186,96,50.551212
-102.239547,172,50.856217
-100.923895,96,51.026651
-116.498783,111,51.229017
-107.720997,168,51.540278
-104.614233,50,51.635967
-102.700171,61,51.747832
-112.769128,100,51.925796
-105.226104,56,52.028861
-101.902116,55,52.136425
-103.887695,61,52.24788
-104.077296,49,52.337743
-102.990529,47,52.425799
-103.524027,58,52.530304
-106.403073,57,52.638195
-110.007482,70,52.764628
-105.031569,41,52.842028
-108.078931,155,53.119596
-107.821005,68,53.238288
-109.474075,48,53.330546
-101.460191,66,53.450243
-102.065775,58,53.560676
-105.045007,159,53.8372
-102.781343,95,54.011053
-105.792739,60,54.121294
-109.216848,156,54.390755
-120.478717,168,54.678672
-118.275582,100,54.862022
-102.071042,89,55.020559
-121.858883,227,55.414297
-105.551521,46,55.497617
-121.363092,292,56.004077
-103.547162,47,56.097336
-103.608069,55,56.198853
-103.872054,51,56.293299
-105.415284,45,56.376382
-105.256423,47,56.465124
-103.771,52,56.566691
-104.662906,79,56.717228
-101.927197,82,56.86841
-103.710801,69,56.996315
-103.549643,117,57.203546
-109.654988,240,57.625171
-99.77157,76,57.762663
-112.094842,232,58.165144
-104.164,77,58.300453
-103.332671,142,59.430905
-102.046893,126,59.673638
-103.643201,141,59.920401
-112.840891,158,60.200971
-178.233018,695,61.382842
-105.574436,135,61.622214
-102.252649,72,61.755257
-99.441742,95,61.930058
-108.714945,43,62.010173
-101.493201,82,62.160165
-118.41168,266,62.614429
-101.585736,106,62.814934
-102.782974,57,62.924227
-104.828801,42,63.006044
-107.507564,78,63.149049
-100.011939,93,63.316144
-104.656053,94,63.486562
-104.320452,82,63.634743
-112.84985,204,64.106133
-104.263849,89,64.26604
-100.607378,119,64.47852
-105.45636,51,64.575205
-101.445724,96,64.753341
-102.045653,92,64.922352
-118.012685,279,65.398043
-126.107257,1600,68.135377
-108.906092,51,68.236403
-120.311964,1600,70.948521
-109.314483,75,71.091906
-79.992222,1600,73.832465
-111.779181,33,73.895019
-116.106828,1600,76.885046
-111.136216,60,76.994934
-113.684372,1600,80.084178
-93.024077,1600,82.832322
-121.845891,1600,85.582694
-99.890935,1600,88.316802
-119.669871,1600,91.095065
-107.361087,47,91.19258
-121.177955,1600,94.075942
-105.846602,74,94.210452
-107.388134,45,94.29496
-86.701712,1600,105.648793
-72.540967,1600,108.435364
-93.278752,1600,111.195384
-101.99259,1600,113.916652
-109.887922,52,114.01716
-109.776922,44,114.099669
-107.81908,38,114.171179
-114.410895,1600,116.871506
-130.767019,1600,119.635502
-106.618465,49,119.732206
-110.899794,1600,123.265872
-106.819278,43,123.352895
-55.217284,1600,126.079944
-60.24078,1600,128.912078
-105.529321,51,129.007587
-106.38065,52,129.103096
-105.299256,81,129.253376
-102.378017,59,129.363887
-96.310755,1600,132.121758
-194.392728,1464,134.616799
-104.529882,91,134.781459
-104.903038,179,135.103063
-102.983792,71,135.238391
-108.9,207,135.601213
-108.962793,172,135.901027
-102.875002,64,136.01867
-130.569791,649,137.149906
-104.746538,38,137.225326
-103.112156,37,137.299862
-90.078167,1600,140.561802
-81.464423,1600,143.357024
-60.160997,1600,146.128394
-76.753664,1600,148.889625
-105.348338,40,148.968214
-103.879502,31,149.029383
-104.789576,36,149.101469
-105.885245,36,149.224521
-104.598344,31,149.290633
-105.532606,49,149.387449
-105.115912,41,149.464416
-102.234563,42,149.546314
