#{"t_start": 1782230560.1994348, "env_id": "BipedalWalker-v3"}
r,l,t
-108.805032,76,1.069973
-108.764284,48,1.158784
-118.739948,1600,3.980013
-105.03783,1600,6.794628
-121.030902,95,6.963375
-104.424659,1600,9.762111
-110.937977,1600,12.5806
-113.35358,1600,15.379959
-109.222355,1600,18.176137
-129.829805,481,22.778449
-102.96858,50,22.874959
-111.19725,68,23.003469
-99.108132,112,23.212492
-117.523337,312,23.762632
-104.720508,49,23.857141
-103.986697,44,23.939651
-103.722068,53,24.04116
-103.670265,43,24.12967
-102.386403,53,24.227179
-103.276766,51,24.323688
-102.610113,65,24.446199
-101.87447,61,24.568709
-104.253382,48,24.663221
-103.774522,65,24.786731
-99.930267,62,24.905243
-116.806798,71,25.042136
-119.489923,83,25.189646
-102.805663,46,25.283156
-120.809846,75,25.421175
-101.78818,55,25.524685
-104.492975,51,25.619689
-101.569214,57,25.724704
-106.689645,80,25.870216
-104.642734,68,26.002728
-115.70653,63,26.117492
-104.863907,61,26.234508
-105.646393,70,26.363018
-103.005699,57,26.466529
-116.580928,51,26.628586
-102.191218,53,26.737095
-104.538395,47,26.825605
-122.671995,108,27.030625
-125.214959,91,27.195136
-104.942477,50,27.290476
-103.357708,49,27.386982
-105.559176,49,27.481492
-103.810554,63,27.595
-102.176588,50,27.68851
-105.945696,49,27.783019
-119.489804,69,27.9173
-104.892256,74,28.050317
-103.877808,47,28.137826
-103.800122,61,28.249182
-104.824264,51,28.340692
-104.326162,83,28.491202
-104.447772,52,28.587795
-106.214246,43,28.669304
-107.027364,64,28.789814
-102.998312,60,28.909327
-106.749949,42,28.988833
-129.121539,1600,31.760993
-110.068826,58,31.870502
-109.59036,51,31.965015
-108.162992,44,32.051237
-140.907125,1600,34.834795
-113.395071,42,34.913966
-127.05716,1600,37.684742
-103.909042,51,37.780252
-103.725898,55,37.882622
-105.691582,69,38.008134
-117.163104,1600,41.486722
-124.33028,472,42.305529
-103.024223,59,42.413044
