#{"t_start": 1782230560.1974282, "env_id": "BipedalWalker-v3"}
r,l,t
-116.367087,71,1.056017
-245.976928,1565,3.700469
-114.432307,1600,6.414961
-90.880466,1600,9.114731
-87.327413,1600,11.84031
-84.625776,1600,14.571002
-78.85882,1600,17.259372
-108.606513,57,17.358016
-76.229961,1600,29.05435
-107.565415,57,29.14986
-107.492442,44,29.224369
-77.376788,1600,31.894509
-110.998458,52,31.992735
-106.742988,67,32.105244
-106.970336,73,32.232265
-105.77996,39,32.297265
-72.539346,1600,34.987479
-125.49523,636,36.05209
-102.133062,64,36.163312
-107.612783,70,36.282823
-104.421151,58,36.383332
-101.366047,87,36.529352
-105.020936,191,36.850961
-112.316762,303,37.361512
-112.104213,74,37.48773
-109.656528,53,37.583239
-112.2383,66,37.696749
-101.397062,221,38.067647
-101.456026,53,38.160158
-101.300326,69,38.275668
-98.906067,97,38.441687
-107.632434,56,38.535196
-115.692183,61,38.639706
-101.242414,101,38.818379
-103.224676,144,39.060917
-106.769914,206,39.411457
-103.84334,70,39.539476
-112.68416,158,39.807494
-118.009898,367,40.49892
-111.634254,61,40.611434
-55.992507,1600,43.275341
-108.25134,35,43.33985
-104.435176,66,43.450359
-72.366939,1600,52.502405
-80.671033,1600,55.163324
-70.984526,1600,57.856439
-113.864445,157,58.116819
-84.237234,1600,60.815301
-104.950755,41,60.883849
-71.253996,1600,63.585789
-60.459186,1600,66.287447
-106.249172,38,66.357051
-121.978343,703,77.342564
-36.096542,1600,80.016131
-105.354329,45,80.092184
-108.247261,62,80.201933
-98.912409,86,80.349237
-100.554135,67,80.475167
-98.303587,78,80.6057
-102.599169,67,80.722158
-119.76012,576,81.682003
-69.8667,1600,84.348984
-68.233163,1600,87.012762
-104.783464,88,87.157415
-103.410931,87,87.305571
-56.100071,1600,89.964941
-57.181157,1600,92.725024
-51.03722,1600,103.820554
-44.748976,1600,106.528511
-105.454321,34,106.59002
-106.31932,36,106.654024
-112.068396,58,106.753534
-107.274441,42,106.82904
-45.912625,1600,109.511781
-36.580428,1600,112.192635
-118.92228,110,112.375949
-117.589437,108,112.553925
-61.03169,1600,115.208514
-106.680528,103,115.384532
-104.964153,223,115.760409
-109.689551,42,115.831914
-34.613032,1600,118.486899
-106.672764,44,118.563524
-105.41147,39,118.628487
-105.913606,73,118.75384
-107.855282,72,119.952055
-111.460596,99,120.115207
-118.56888,118,120.316292
-139.006426,1107,122.149385
-153.875364,820,123.526001
-107.20007,239,123.92234
-107.374836,124,124.137691
-105.10711,131,124.354037
-31.181314,1600,127.012785
-26.918349,1600,129.759929
-118.656367,799,131.100965
-107.897743,60,131.203474
-112.509853,101,131.372987
-120.884314,170,131.662511
-136.11401,836,133.046444
-103.774162,141,133.298789
-98.438647,83,133.43926
-105.154417,177,133.736795
-105.997976,109,133.914261
-104.919634,126,134.132718
-104.732719,237,134.525529
-112.124306,127,134.738904
-103.95076,109,134.930461
-103.191236,106,135.114799
-132.268106,613,136.146645
-105.085944,174,136.443359
-102.932393,99,136.610897
-105.909279,189,137.423891
-100.916329,114,137.616971
-129.622783,195,137.941234
-102.021015,184,138.252729
-107.550239,126,138.465632
-102.470602,106,138.64027
-104.166484,96,138.805031
-105.758015,43,138.884984
-128.987407,814,140.237709
-55.999409,1600,142.942994
-61.532409,1600,145.61585
-100.598157,91,145.77036
-103.864793,52,145.859868
-0.232535,1600,148.530083
-106.281407,59,148.62723
2.260633,1600,151.377213
-106.348373,50,151.465418
-100.827287,69,151.589344
-32.348758,1600,155.093585
43.640833,1600,157.75017
65.008056,1600,160.435179
-107.485419,48,160.520689
-123.688368,101,160.698949
45.724644,1600,163.52346
78.233408,1600,166.31404
-107.709057,45,166.392917
-107.878448,46,166.470936
84.948974,1600,169.112437
-106.170939,49,169.197441
-116.749721,95,169.365456
-26.325,1519,172.263686
-105.954669,53,172.355129
-106.143479,49,172.439453
-100.809306,118,172.637791
-105.223827,141,172.871611
-109.410835,107,173.055765
-103.586559,183,173.364501
-94.795656,395,174.026038
-99.309442,109,174.210613
-111.06028,85,174.353918
