#{"t_start": 1782227811.9130917, "env_id": "BipedalWalker-v3"}
r,l,t
-105.0666,55,0.941098
-112.391786,1600,1.839069
-104.221626,47,1.875584
-106.261893,81,1.922686
-126.432936,1600,4.312311
-109.853371,1600,6.819167
-115.248952,1600,9.311056
-106.740731,52,9.337673
-115.361575,1600,11.652995
-107.323691,76,11.716767
-114.682668,58,11.76797
-109.654703,76,11.831456
-109.573886,42,11.870764
-107.520442,1600,13.181581
-108.573987,47,13.221826
-118.080879,1600,15.539691
-110.849749,1600,17.838178
-114.858327,1600,20.068402
-108.283368,1600,22.67632
-106.468514,48,22.721216
-107.326116,49,22.766888
-103.737007,39,22.803888
-109.260001,1600,24.07075
-101.550031,55,24.118751
-108.30499,1600,26.706328
-108.82541,61,26.759367
-104.710788,52,27.248172
-113.386661,1600,29.66767
-107.573977,1600,31.98329
-109.5421,1600,34.357802
-102.45294,1600,35.381666
-110.198289,1600,37.764441
-115.543421,1600,40.116848
-96.175689,1600,49.891244
-115.012559,1600,52.307148
-119.359409,1600,53.494642
-109.076889,1600,55.897313
-104.483127,1600,58.329772
-119.469409,96,58.408901
-103.432599,1600,60.839538
-111.322161,69,60.901583
-110.056138,1600,70.991076
-108.278965,51,71.039366
-95.391129,1600,72.109509
-97.401964,1600,74.661598
-81.441363,1600,77.44744
-88.066411,1600,80.115095
-101.324189,1600,81.420476
-95.950131,1600,92.770679
-95.151863,1600,95.192478
-108.118059,1600,97.711747
-79.573489,1600,100.228379
-92.935843,1600,101.333319
-78.519729,1600,103.884453
-86.632564,1600,113.847665
-69.592241,1600,116.223438
-70.737009,1600,117.244536
-74.870327,1600,119.778686
-75.021413,1600,122.336241
-81.829533,1600,124.88873
-68.82038,1600,127.430599
-77.87599,1600,135.677798
-55.596698,1600,138.056845
-39.191297,1600,140.446167
-49.037694,1600,142.974645
-72.175615,1600,145.528437
-32.688424,1600,146.772699
-23.985947,1600,156.525056
-23.729309,1600,159.091099
-31.690177,1600,161.620162
-11.068597,1600,162.785822
-71.067392,1600,165.348213
16.214512,1600,167.81236
1.11312,1600,175.89396
40.148328,1600,178.405612
35.027988,1600,179.520045
-110.006818,543,181.339785
-109.15407,58,181.393329
19.020344,1600,182.548463
-104.990796,925,184.60722
-93.517908,1473,187.115361
43.76514,1600,194.841865
-103.647273,262,195.055794
21.678054,1600,197.577611
26.765984,1600,200.08798
33.404193,1600,202.646234
42.447206,1600,205.228236
-65.645308,1481,206.331931
20.155492,1600,208.803148
-37.130848,1600,215.562704
5.397206,1600,218.164302
33.430911,1600,219.449453
0.987411,1600,222.056801
18.963345,1600,224.673213
31.710138,1600,227.261643
23.168043,1600,236.905311
6.436337,1600,238.170486
49.503102,1600,240.806933
53.719789,1600,243.430254
51.902855,1600,245.917726
-56.770872,1023,246.737323
-98.191144,275,246.96859
37.437083,1600,256.100213
50.495185,1600,258.706916
68.616958,1600,261.32194
-57.310764,1478,262.503889
-117.941395,310,264.066379
-90.550845,466,264.439917
49.910766,1600,267.038154
32.61382,1600,268.307888
-31.861468,1568,276.781327
45.998215,1600,279.364204
21.753225,1600,281.97581
64.304397,1600,283.160344
111.065002,1600,285.684082
50.789255,1600,288.012833
82.468297,1600,296.042055
59.989752,1600,298.550388
120.06333,1600,299.811724
109.308432,1600,302.329596
-108.291681,102,302.416802
-126.608193,168,302.554275
-75.519172,911,304.484315
77.716729,1600,307.007395
83.361611,1600,308.260453
-86.007414,563,309.859254
-16.947993,1367,317.636214
108.113373,1600,320.16928
71.994255,1600,322.582557
76.658265,1600,325.063076
52.436407,1600,326.072811
109.228902,1600,328.660061
67.042708,1600,337.235189
119.127317,1600,339.844414
88.85083,1600,341.120363
-100.013404,485,342.836904
-89.550366,487,343.232745
83.225986,1600,345.6959
95.123905,1600,347.9995
-64.348618,1160,348.781008
87.527457,1600,355.439217
99.443309,1600,358.112743
130.382916,1600,359.396626
98.780074,1600,361.999933
60.332685,1600,364.599767
-47.205056,1160,366.790787
-14.150595,1539,375.10304
99.161502,1600,377.67119
55.727972,1600,380.251316
-3.25767,1438,382.71729
-74.15755,1254,383.723778
85.850536,1600,386.318769
-111.147901,123,386.423206
88.558782,1600,388.955747
96.377433,1600,399.365689
123.173925,1600,400.691303
85.42221,1600,403.350664
92.443076,1600,405.993609
69.168897,1600,408.629811
98.078842,1600,409.83784
45.822488,1600,420.652949
72.95553,1600,423.303088
61.910048,1600,425.878505
106.133036,1600,428.443821
70.786942,1600,429.756757
109.673293,1600,432.488459
-93.400732,411,432.764045
97.638061,1600,442.536737
-42.208859,1147,444.643308
121.179065,1600,445.896958
103.572635,1600,448.466442
135.655247,1600,451.023231
-95.268789,495,451.423105
-87.185449,473,453.119784
131.326097,1600,454.410673
