#{"t_start": 1782229866.7838638, "env_id": "BipedalWalker-v3"}
r,l,t
-120.916684,1600,1.117069
-122.959882,1600,3.62309
-108.507148,48,3.669983
-107.997284,47,3.717012
-110.406553,51,3.751383
-114.362487,1600,6.285978
-104.409008,40,6.319477
-109.91017,56,6.37176
-119.642962,1600,8.976606
-106.183236,55,9.005459
-112.155205,1600,11.665399
-113.873003,1600,12.766632
-106.575829,36,12.804579
-111.619377,1600,24.525013
-108.497165,1600,27.140224
-103.991749,64,27.179937
-106.983126,1600,29.846581
-111.249493,1600,32.492096
-102.986959,1600,33.829536
-111.181727,48,33.875654
-104.969914,63,33.935538
-106.682493,51,33.983478
-106.281895,68,34.046848
-118.933574,1600,36.67797
-112.80286,1600,48.047259
-109.761144,115,48.152995
-105.316501,1600,50.857448
-108.959809,57,50.915935
-102.972282,1600,53.674136
-95.424949,1600,55.052882
-107.878108,1600,57.607639
-108.446092,1600,60.333815
-99.734614,1600,71.255948
-101.894485,1600,74.080812
-102.820377,1600,75.446261
-104.620774,67,75.512663
-106.765611,67,75.577788
-92.480074,1600,78.247022
-103.452698,1600,80.801241
-79.613372,1600,83.352868
-87.918307,1600,92.960151
-91.664017,1600,95.750447
-90.591078,1600,98.496556
-111.275743,40,98.540299
-91.040246,1600,101.074215
-83.204474,1600,103.612121
-96.503927,1600,104.87186
-90.511365,1600,115.997501
-92.60541,1600,118.750835
-88.211619,1600,121.44117
-104.757658,1600,124.113527
-62.862418,1600,125.2227
-96.766083,1600,127.967698
-61.561461,1600,139.682291
-68.412784,1600,142.558309
-62.786353,1600,143.681989
-88.437202,1600,146.316659
-86.094401,1600,148.984748
-76.13836,1600,151.706605
-75.736227,1600,154.325574
-45.756308,1600,164.353941
-48.410465,1600,167.137686
-34.912516,1600,170.072639
-62.725153,1600,172.788075
-53.439481,1600,174.092944
-24.951245,1600,176.886622
-33.59142,1600,188.436517
-53.252118,1600,191.086481
-59.274031,1600,193.822141
5.574953,1600,195.172228
-43.103142,1600,197.725173
10.904082,1600,200.332644
-9.815678,1600,211.535332
-4.956106,1600,214.19934
-24.076227,1600,215.44089
3.735901,1600,218.391503
-4.103985,1600,221.127455
13.574321,1600,223.990782
-111.717697,68,224.034621
-14.596435,1600,233.60002
-5.136156,1600,236.530586
-55.951269,1600,239.383093
-110.200899,60,239.442719
-1.120028,1600,242.33625
20.16066,1600,245.173501
-111.032641,58,245.219625
9.798953,1600,246.268433
11.21396,1600,248.819806
-2.319643,1600,260.265245
-29.30423,1600,263.122929
30.943399,1600,266.053484
-116.700458,131,266.17721
60.89829,1600,267.592224
26.167349,1600,270.453728
26.497867,1600,273.090879
29.609605,1600,285.412565
59.651763,1600,288.502637
84.074621,1600,289.976083
97.263809,1600,293.07289
56.456857,1600,296.141168
76.062984,1600,299.184359
-31.649916,1428,309.068789
44.2359,1600,312.144473
-79.210493,901,314.605683
81.299284,1600,316.090158
-134.36261,322,316.392819
-70.3624,609,318.583293
35.260651,1600,321.663927
-104.000136,712,322.319473
49.745321,1600,325.401321
11.971016,1600,336.874229
52.497787,1600,339.950574
88.946044,1600,343.013851
80.294033,1600,346.098753
76.11894,1600,349.158581
60.215352,1600,350.619212
-129.683434,86,350.706561
57.700597,1600,363.865323
62.739792,1600,366.952486
111.952743,1600,370.052892
40.337014,1600,373.130129
-70.719416,1306,374.3145
-123.600029,74,374.389648
44.345424,1600,377.480234
87.955051,1600,389.371679
110.552806,1600,392.450174
129.127498,1600,393.891603
-114.423565,83,393.97648
-107.096199,69,394.047595
94.721095,1600,397.149493
81.932535,1600,400.233148
122.195425,1600,403.304764
117.105452,1600,416.491001
78.260615,1600,417.897693
134.451697,1600,420.905836
165.900992,1600,423.935057
-110.555321,46,423.986016
-110.719494,101,424.082996
100.050604,1600,427.060513
110.652061,1600,430.090055
-31.620175,1375,431.336794
99.314845,1600,444.427233
45.703719,1600,447.516551
142.677732,1600,450.562462
-117.271769,186,450.734645
100.042937,1600,452.200037
109.531646,1600,455.235116
124.147268,1600,458.267721
108.396047,1600,470.688569
101.988369,1600,473.776175
-104.594589,876,474.559653
151.829186,1600,477.607492
66.570276,1600,480.649744
103.04041,1600,482.104321
117.779021,1600,485.143018
114.452816,1600,498.139807
121.094504,1600,501.259149
98.384173,1600,502.735531
151.105086,1600,505.846418
106.138466,1600,508.913214
-112.165369,48,508.967218
-108.686477,77,509.045722
115.482187,1600,512.103306
93.654478,1600,522.534282
-109.333296,79,522.614873
141.15638,1600,524.075659
10.460881,1249,526.83894
112.992658,1600,529.901406
9.955839,1554,532.93162
-80.897236,731,533.597733
-22.378732,1307,536.3566
-104.161514,166,536.517003
86.623574,1600,547.565473
113.235976,1600,550.63188
127.083301,1600,553.68706
-122.148194,116,553.799217
-121.126611,85,553.885748
-110.696113,41,553.932309
-77.092399,492,554.383588
107.159466,1600,557.437271
-35.138294,757,559.705843
101.851914,1600,561.136012
120.770902,1600,574.171336
124.148063,1600,577.20482
-109.376908,87,577.293719
-30.262787,1325,580.093228
136.695244,1600,581.542787
143.472733,1600,584.605398
175.184426,1600,587.641068
152.857385,1600,590.657233
-74.261279,456,601.315877
118.563319,1600,604.420303
139.764919,1600,605.871556
100.021818,1600,608.94492
154.048122,1600,612.021621
144.164888,1600,615.05829
131.157593,1600,628.154033
-25.854656,918,628.986669
122.894785,1600,632.047844
133.96778,1600,635.106377
170.843668,1600,636.557548
120.092945,1600,639.644599
119.210324,1600,642.685839
