#{"t_start": 1782227811.909226, "env_id": "BipedalWalker-v3"}
r,l,t
-114.652559,58,0.95097
-134.739799,1600,1.789417
-95.12703,89,1.842935
-103.819548,1600,4.129292
-107.917896,102,4.177525
-101.406737,75,4.217592
-105.466655,75,4.27326
-97.661953,1600,6.72672
-119.235511,105,6.802718
-101.138877,66,6.855032
-100.767437,66,6.902213
-119.346301,1600,9.308917
-110.672468,146,9.384538
-119.943712,71,9.422047
-99.35495,1600,11.727676
-111.881099,52,11.768836
-122.215408,123,11.861629
-105.929965,59,11.906633
-99.669484,1600,21.719399
-89.331495,1600,22.950542
-104.129611,109,24.245081
-82.148638,1600,25.455139
-82.856182,1600,27.624026
-106.004833,62,27.67196
-86.379453,1600,30.095857
-77.862189,1600,32.540695
-118.863094,116,32.613947
-79.695434,1600,42.413961
-72.556279,1600,43.309376
-71.656068,1600,45.511741
-117.670305,83,45.551607
-82.511421,1600,47.693877
-83.676824,1600,50.124023
-114.766405,62,50.172693
-72.574099,1600,52.637261
-74.317992,1600,61.672773
-107.857676,144,61.765324
-73.799054,1600,63.978756
-80.184177,1600,66.130356
-105.815544,90,66.167092
-71.005753,1600,68.498102
-103.878582,56,68.521271
-115.876764,52,68.550429
-77.540203,1600,70.989226
-118.258401,75,71.047783
-102.384043,54,71.091388
-77.784878,1600,72.137348
-102.459738,109,72.186358
-122.669051,78,73.532452
-101.78282,67,73.586049
-103.359587,93,73.659147
-70.916519,1600,75.138755
-67.032235,1600,77.890486
-101.249645,150,77.982946
-73.443804,1600,80.626639
-72.539923,1600,83.643301
-102.076043,60,83.692822
-70.787482,1600,86.525222
-78.122043,1600,87.776658
-103.878307,51,87.819757
-115.189122,78,87.882482
-125.06631,123,89.539715
-116.015982,114,89.629796
-71.641428,1600,98.430545
-63.883153,1600,100.937181
-69.140537,1600,103.364176
-74.353205,1600,105.706752
-71.191837,1600,106.823941
-69.894139,1600,109.010038
-107.9956,117,109.07262
-64.876465,1600,118.385529
-106.967004,85,118.448493
-54.692218,1600,120.919691
-66.156683,1600,123.380489
-63.946858,1600,124.585514
-73.030758,1600,127.063695
-62.813282,1600,129.391176
-58.353053,1600,138.976244
-61.373018,1600,141.455078
-55.116254,1600,142.648596
-50.339442,1600,145.074568
-43.730459,1600,147.513536
-44.793338,1600,149.984842
-40.732477,1600,152.210603
-31.761056,1600,160.493021
-31.584275,1600,162.962891
-18.979976,1600,165.544779
-25.684082,1600,168.017587
-11.549985,1600,168.948324
-1.091956,1600,171.094825
8.511861,1600,178.942284
15.036513,1600,181.512442
11.770887,1600,184.039572
-102.363645,312,184.276629
32.234303,1600,185.372148
32.969875,1600,187.885466
38.075537,1600,190.237582
42.570543,1600,192.897392
-83.515207,600,193.224624
49.290616,1600,195.523137
-65.402778,1318,197.877141
51.262847,1600,199.087806
29.455815,1600,201.671447
47.997366,1600,204.262669
58.979473,1600,214.558949
-105.450181,105,214.642006
54.608213,1600,217.294656
65.138461,1600,218.512759
64.101988,1600,221.093342
60.156939,1600,223.674891
58.965955,1600,226.256914
91.366345,1600,233.717448
88.8633,1600,236.283492
-87.503063,122,236.379147
95.886504,1600,238.942366
-109.182289,86,239.01012
98.650942,1600,241.592209
97.688693,1600,244.207866
89.48416,1600,245.349478
107.36634,1600,255.177394
-26.632947,1259,257.464068
109.723296,1600,260.033812
112.362222,1600,261.243235
108.436107,1600,263.781702
102.957542,1600,266.340201
-100.532796,93,266.4133
105.294667,1600,268.965477
-104.877622,102,269.04298
101.392453,1600,278.959877
95.132942,1600,280.075131
111.925442,1600,282.56983
105.060755,1600,285.005894
104.612376,1600,287.471284
117.678767,1600,289.805729
134.951361,1600,297.840052
17.079486,1301,300.111175
133.346264,1600,302.639843
114.109023,1600,303.7934
121.289501,1600,306.348347
135.66165,1600,308.68298
-19.845125,839,309.316726
152.886889,1600,317.7706
135.095094,1600,320.175146
-87.436536,165,320.286754
156.519385,1600,322.74879
142.831412,1600,325.118712
156.223171,1600,326.112084
159.469209,1600,328.584827
-115.880937,101,328.626582
-97.13486,136,328.718954
-110.515871,52,328.753662
-84.404639,278,328.903903
146.625505,1600,333.712725
-109.209694,153,333.832955
-45.137822,564,335.613183
9.082867,1272,336.321414
-83.549651,433,336.661185
162.846655,1600,339.396801
-106.681148,113,339.488956
155.216233,1600,342.153162
-92.249813,273,342.362668
38.499915,1404,344.785949
147.210355,1600,353.584143
124.38748,1600,354.804698
-64.359648,419,356.641042
3.178305,995,357.403126
146.25036,1600,360.011655
-70.354154,380,360.307246
171.878204,1600,362.941628
129.726469,1600,365.415568
131.428841,1600,373.90685
141.692776,1600,376.525237
126.493514,1600,379.130598
-46.657786,812,379.748506
-32.363621,834,381.692091
161.286892,1600,384.259131
144.296262,1600,385.488756
-93.997468,115,385.579591
-103.22673,114,386.981945
131.183121,1600,390.782419
-21.656701,986,392.736064
-115.419738,132,392.819218
152.131504,1600,395.300864
-65.00629,484,395.610524
1.249672,1140,396.306554
-85.516771,159,396.429816
-110.026702,47,397.856807
151.086972,1600,399.092101
-71.270613,808,401.227125
-52.913627,571,401.671284
-53.131977,719,402.231634
118.563091,1600,405.562669
167.565959,1600,408.197039
151.371985,1600,410.699987
28.65228,1408,411.725097
149.728864,1600,414.058126
166.763748,1600,416.354224
-68.978772,501,416.747031
52.153896,1565,419.200531
154.042461,1600,429.289027
-98.672535,110,429.381111
180.397926,1600,432.052225
178.088752,1600,433.084429
-100.295556,123,433.182156
-107.343454,235,433.366765
-93.844122,134,434.883252
175.9866,1600,435.8862
180.941479,1600,438.060347
165.443349,1600,449.065027
163.926584,1600,451.671786
174.596611,1600,452.897168
164.308659,1600,455.451179
161.508794,1600,458.003147
28.457144,1374,460.319769
192.086952,1600,461.550988
62.68268,1478,469.291222
189.4555,1600,471.848901
200.691496,1600,474.357535
-93.050573,130,474.439589
203.043258,1600,477.003878
174.961471,1600,478.087113
178.998527,1600,480.464857
210.323955,1600,483.684948
-112.870146,61,483.736838
187.366294,1600,486.351917
38.260192,1178,487.257235
224.165389,1600,489.870207
205.558445,1600,492.443184
222.945834,1600,494.894916
-116.719039,78,494.959311
-98.597991,133,495.063043
-71.916378,299,495.297061
233.749876,1600,504.321145
241.913816,1600,505.548255
252.412067,1600,508.158971
-83.440704,379,508.44808
87.892059,1394,510.675758
-52.764077,380,510.967732
231.108777,1600,513.381861
-96.091866,121,513.476033
250.540368,1600,515.811564
206.716521,1600,520.174545
-124.473137,82,520.23911
-102.533403,173,520.371405
-99.822306,173,520.50282
234.981585,1600,523.050755
220.654555,1600,524.250447
65.237022,1111,526.489083
-120.291868,113,526.576864
-66.281159,292,526.804082
234.276324,1600,529.354665
-115.72067,129,529.456835
-92.288126,167,529.587269
82.412521,1262,531.90803
115.433999,1496,534.804588
262.459181,1594,535.772974
-108.227239,52,535.79693
-52.436826,601,537.472593
-113.799348,69,537.529065
237.497483,1600,538.480556
-96.580453,107,538.542672
-97.210429,132,540.029329
98.917653,1363,541.003089
118.740669,1414,543.324389
31.436945,1001,543.871377
-101.531391,133,543.963619
-91.364665,123,545.513488
66.226473,1141,546.388951
-116.682457,89,548.464823
-85.012389,223,548.642209
250.121777,1600,551.254936
265.811938,1600,553.794186
94.733574,1424,554.804327
-96.298111,111,556.20628
244.079767,1600,557.485884
246.362813,1600,559.848434
240.280747,1600,562.220458
107.802773,1364,570.685235
267.681972,1552,571.872313
-131.083094,254,572.036951
264.882046,1588,574.552554
251.557817,1600,577.056924
244.485521,1600,579.550471
64.987219,1071,580.350898
265.486391,1553,585.418191
119.019871,1459,587.62004
268.665519,1548,590.024918
-97.144547,109,590.109573
57.850819,1236,591.050215
-91.668286,118,591.145047
261.832682,1600,593.800766
114.535581,1205,596.145582
272.289371,1480,597.237045
268.663643,1518,602.505463
272.78239,1476,604.862483
274.219201,1433,605.715853
15.617786,1036,607.882294
45.121477,1054,608.693672
3.232082,596,610.435103
-33.805821,485,610.744452
-19.481051,583,611.18772
-73.950294,237,611.367876
273.788132,1418,613.871499
137.463643,1345,620.873145
100.682549,1147,621.468383
264.493261,1586,623.856393
-60.704422,524,624.175791
268.978076,1490,626.467669
268.606322,1490,628.833462
268.660169,1492,631.443822
274.731471,1412,632.558603
146.864141,1419,635.664256
-93.579514,107,635.752753
273.136667,1469,638.374555
-38.411894,453,638.738735
90.076611,1305,641.085805
275.424293,1412,642.210174
279.745334,1374,644.548123
264.18127,1596,646.95128
274.700462,1415,647.766501
276.268753,1385,652.504399
8.455099,681,653.009759
277.216508,1376,655.315513
277.834675,1384,657.774451
277.29755,1376,658.655344
280.138897,1352,661.14474
277.345499,1336,663.642473
280.523281,1323,670.308822
277.493595,1342,672.685338
280.038518,1323,675.040942
275.986718,1373,675.910895
34.967279,695,677.87955
-48.163388,333,678.048309
-122.705702,95,678.114114
-100.401873,117,678.194598
279.939512,1326,680.518346
281.044817,1322,681.350135
276.475529,1320,683.800339
280.52862,1321,692.807222
280.846684,1303,693.703757
282.528668,1266,695.999431
38.239096,723,696.398091
84.937113,940,698.216325
-107.293057,50,698.258996
282.889959,1270,699.100205
35.551908,704,701.124207
278.001596,1324,701.986707
284.027446,1260,704.326236
5.163849,540,710.893138
279.588447,1308,713.290479
-38.115945,443,713.615511
88.583121,969,714.100196
112.724281,1113,716.322976
99.692945,961,716.938692
-38.861661,408,718.57372
285.236668,1230,719.299276
286.254389,1225,721.429411
-105.124695,127,721.502369
281.873288,1293,723.742211
277.577923,1355,731.021854
4.876842,599,731.492456
275.312918,1400,733.953262
279.236686,1339,736.384703
278.052268,1375,738.633635
-93.447477,189,738.782764
-116.719182,58,738.829811
-99.005133,146,738.946924
283.344736,1256,739.873988
284.320331,1248,742.041125
283.954515,1270,744.151054
282.308684,1285,751.17889
281.601776,1306,753.622161
282.562814,1299,754.620126
-110.410198,109,754.707026
-46.289887,422,756.517236
285.219796,1251,757.478545
283.934046,1241,760.181568
281.698101,1297,762.757266
-95.828765,165,762.886278
285.404077,1235,766.077231
283.279286,1270,774.978781
159.794765,1189,775.887614
285.703382,1229,778.541909
-28.458249,431,778.880916
283.814895,1241,781.592524
-120.363442,81,781.657672
-118.812901,119,781.747972
284.284119,1228,784.402596
-105.212241,104,784.486103
287.072963,1204,785.406293
287.128319,1226,787.976888
-77.129678,239,788.160675
-67.268034,259,788.360635
284.578749,1255,798.397827
285.456631,1252,799.351833
286.256498,1239,802.009849
282.24679,1268,802.983948
-108.404935,129,804.802302
279.745373,1319,805.815932
283.278788,1261,808.507101
284.559782,1244,809.461236
-118.151859,52,809.502221
286.361732,1243,812.034946
174.096293,1288,820.847195
14.961784,595,821.299271
286.472611,1222,823.891137
-8.997504,511,824.286966
285.202947,1252,825.243382
285.47621,1251,827.94261
287.451422,1228,830.627368
284.405413,1273,831.604233
280.058894,1321,834.301585
285.730705,1228,848.109607
76.469078,1036,850.43434
282.571694,1301,853.073308
-109.965825,195,853.224848
287.746037,1231,854.454345
287.017985,1235,857.523628
287.696195,1225,860.221512
-97.863827,171,860.354359
287.096236,1242,861.301982
287.003063,1236,864.215133
287.167543,1248,871.259976
14.484383,504,873.193702
283.940102,1277,874.177054
124.7013,1041,876.509814
287.313026,1236,877.460608
-116.017936,122,877.554971
289.567415,1206,880.019567
288.725429,1226,882.527054
78.972187,863,883.192478
286.611304,1237,885.71472
286.926526,1240,893.07571
290.033228,1196,898.742105
287.493917,1226,899.684351
286.505548,1214,903.070514
286.600245,1262,912.514185
288.822499,1210,913.69324
286.697519,1267,916.768004
287.578181,1252,919.408368
286.266867,1257,926.612138
284.872071,1264,937.124356
290.998804,1190,938.031849
288.772884,1230,940.532559
-119.86819,143,940.645065
