#{"t_start": 1782230560.1994348, "env_id": "BipedalWalker-v3"}
r,l,t
-102.041953,66,0.967589
-173.545314,521,9.023027
-106.908008,70,10.183895
-117.236449,81,11.53761
-127.875326,208,15.388005
-133.106323,108,17.463156
-108.04823,60,18.544619
-105.381836,51,19.025028
-102.992694,60,19.557861
-103.488862,81,20.197891
-115.926648,161,21.562041
-109.54926,66,22.277146
-204.59586,1506,51.486414
-114.509101,97,53.395765
-137.176463,200,57.341668
-116.754112,161,60.448164
-116.412153,167,63.872693
-139.438964,263,69.105978
-105.560789,158,72.138382
-103.151418,105,74.432284
-103.675403,127,77.149864
-110.044831,58,78.293875
-110.534587,65,79.611592
-108.524183,63,80.931599
-108.697719,75,82.43821
-102.973185,69,83.834122
-109.658843,55,84.948051
-109.567557,52,85.997358
-103.724469,84,87.705407
-109.582238,149,90.763534
-123.227717,59,92.011393
-106.675553,57,93.289083
-109.143245,62,94.616343
-113.028067,39,95.350909
-116.190177,81,96.512865
-96.919148,96,97.619083
-107.572696,73,98.405121
-106.082767,54,98.945896
-103.932681,95,99.866226
-104.319224,43,100.352901
-104.445158,58,101.020247
-134.58188,498,109.513779
-109.39003,72,110.963091
-107.369323,60,112.21929
-115.054291,77,113.871651
-108.950487,66,115.278016
-102.394717,53,116.380963
-107.242128,60,117.635907
-104.39728,58,118.968009
-105.293856,52,120.001636
-104.914985,58,121.178066
-105.505087,62,122.437155
-114.185702,76,124.03602
-104.662387,77,125.674668
-118.234494,76,127.257983
-107.178856,47,128.347951
-114.625543,102,130.510267
-115.491027,84,132.274271
-117.467449,83,134.049112
-116.357231,63,135.385386
-111.146344,91,137.290862
-115.904287,85,139.044348
-114.510371,80,140.630084
-117.297528,59,141.846055
-112.752727,103,143.959461
-116.589129,57,145.121297
-115.164746,72,146.575443
-117.076337,82,148.227451
-113.272579,77,149.889313
-114.07729,91,151.729508
-115.92292,70,153.179781
-116.802521,71,154.572904
-104.250633,55,155.683664
-117.415894,78,157.235896
-113.209901,86,158.856474
-115.343122,80,160.197643
-108.366244,85,161.785517
-107.449564,70,162.99922
-113.398591,77,164.5053
-104.488147,51,165.423594
-105.011243,66,166.54184
-107.651526,131,169.106431
-106.756435,53,170.225735
-101.061893,60,171.514079
-114.972291,65,172.892866
-110.154932,54,174.038031
-105.090991,65,175.410543
-102.053891,60,176.717718
-102.264987,81,178.435442
-106.553561,56,179.614846
-103.483166,53,180.724295
-103.94961,65,182.094782
-105.536514,54,183.251528
-104.700905,68,184.683651
-115.862435,76,186.257464
-105.579118,50,187.906063
-113.992521,88,189.683066
-109.572524,70,191.079525
-111.182176,66,192.449142
-131.566744,161,195.860987
-119.75559,91,197.955097
-117.903805,81,199.671294
-104.447008,65,201.106814
-105.981824,65,202.580157
-104.634265,61,203.844497
-111.233612,74,205.174819
-106.0764,57,206.112644
-104.752995,49,206.957659
-105.928476,74,208.219419
-117.14742,79,209.265368
-106.424265,67,209.954669
-116.682056,60,210.568846
-119.754042,66,211.311447
-104.662848,48,212.124518
-106.249754,68,213.271029
-104.863904,64,214.536222
-114.689999,81,216.23666
-112.099311,115,218.650201
-134.144747,174,222.348685
-106.120173,133,225.140724
-116.18769,103,227.337843
-107.79151,43,228.312565
-119.193286,74,229.800534
-105.853712,61,231.106839
-125.005815,100,232.718998
-107.248854,69,233.913351
-107.934186,77,235.244184
-113.392816,62,236.222663
-110.035445,62,237.216515
-104.267969,73,238.472314
-107.198806,81,240.052237
-108.209655,53,241.116224
-121.794533,71,242.60752
-105.997878,44,243.536556
-128.168734,142,246.54181
-129.300534,260,251.698159
-106.343222,64,252.952522
-106.147271,59,254.127074
-113.709781,93,255.935285
-114.859985,55,256.815386
-179.091126,918,273.077127
-192.328962,1465,302.976472
-114.225848,78,304.623973
-138.173714,255,310.056754
-115.914808,144,313.071085
-168.735364,1288,340.120948
-116.827919,70,341.604107
-108.972256,48,342.618452
-111.569713,105,344.837384
-126.77816,171,348.382905
-124.571881,76,350.090833
-112.670069,55,351.244923
-103.026233,216,355.620954
-122.329417,80,357.16029
-102.493786,1600,392.875046
-122.763859,92,394.718969
-127.83824,158,397.872121
-117.406518,65,399.152867
-119.441477,59,400.227981
-145.973346,1600,427.426367
-129.636757,112,428.883075
-123.929282,1600,456.797208
-112.030228,1600,486.13419
-113.784932,1600,517.292666
-127.124832,1600,548.335293
-109.388282,59,549.773125
-156.298497,657,561.3215
-116.254393,63,562.506841
-236.392401,1588,603.118319
-112.180867,112,605.34645
-110.498372,92,607.155073
-108.625674,168,610.397814
-117.6973,204,613.795465
-118.070835,70,614.932717
-125.37516,366,621.361241
-103.92728,106,623.319463
-124.291808,382,630.783525
-106.003516,90,632.591022
-108.311859,126,634.947583
-109.566742,83,636.535257
-106.747402,161,639.310051
-111.400675,184,642.402445
-102.916552,142,645.057388
-130.116792,1600,676.48744
-127.707931,426,684.692254
-190.600857,1094,705.740181
-116.434781,130,708.519793
-128.415672,116,710.968904
-105.959362,47,711.976086
-134.885235,172,715.614341
-114.848678,1600,746.985332
-131.370939,323,753.378539
-108.118825,1600,796.891874
-114.04472,1600,829.898612
-117.881354,1600,857.089014
-141.343089,717,870.214882
-105.431841,191,873.873558
-105.310741,156,876.7907
-101.340061,154,879.630006
-104.667687,214,883.586277
-109.601086,97,885.264894
-108.085086,200,889.183545
-104.943301,112,891.39339
-106.579941,139,894.198664
-113.228289,296,900.196399
-106.230336,177,903.549342
-104.913536,111,905.642024
-106.066992,209,909.726249
-97.900818,86,911.48021
-111.763339,102,913.393553
-107.730959,59,914.510093
-105.078401,96,916.409495
-104.538042,164,919.929179
-108.430834,138,922.663748
-103.983838,144,925.508157
-115.361302,241,929.561467
-120.975539,360,936.434854
-108.754862,184,939.912758
-107.63764,140,942.562644
-110.605222,109,944.700278
-106.719427,147,947.626449
-102.443001,145,950.449445
-101.785006,171,953.66836
-109.253329,185,957.363029
-105.079152,111,959.612689
-108.594436,97,961.730366
-120.587568,126,964.436178
-103.046518,210,968.885385
-112.097278,148,971.882286
-101.19995,112,974.125669
-103.202274,139,976.992102
-104.531698,183,980.610806
-111.882546,194,992.676676
-104.328039,148,995.818254
-111.545583,256,1000.542929
-105.424332,95,1002.090235
-107.366764,334,1007.728603
-115.827097,1600,1039.062649
-125.346718,1600,1072.629552
-113.944483,146,1075.795917
-119.237196,76,1077.437546
-116.166267,1600,1110.858208
-108.696327,54,1112.037714
-108.70756,61,1113.36828
-118.187494,1600,1145.857306
-145.92089,1600,1179.689703
-113.211126,1600,1222.668628
-137.860874,1600,1253.957189
-140.170478,1600,1289.622262
-162.646264,1600,1321.730934
-164.238614,1600,1356.217086
-191.451328,791,1373.231405
-124.12319,1600,1407.532352
-134.59749,1600,1451.114583
-107.24683,71,1452.545791
-190.802501,834,1469.615241
-105.054112,62,1470.869517
-106.93568,68,1472.230934
-108.628216,51,1473.262756
-109.340667,75,1474.787458
-122.935294,120,1477.220246
-147.942782,450,1486.87491
-108.71086,62,1488.137986
-108.530886,69,1489.546053
-111.902434,77,1491.109697
-110.030773,70,1492.534322
-125.439255,161,1495.705987
-104.597766,65,1497.093945
-105.053471,51,1498.148282
-105.926456,61,1499.364127
-202.881245,1214,1524.954148
-109.040369,96,1526.919037
-157.542591,704,1541.212506
-106.799459,89,1543.032022
-263.649897,1519,1575.66398
-117.102612,134,1578.620292
-111.567022,50,1579.679686
-118.689363,152,1582.9622
-176.334843,690,1598.332142
-119.806407,81,1600.183859
-109.90894,46,1601.208893
-108.757134,45,1602.205938
-139.525902,585,1615.55214
-120.766489,116,1618.119338
-79.589647,1600,1665.000416
-111.74003,1600,1701.743227
-114.819171,330,1708.885129
-140.066569,563,1721.485241
-115.358318,317,1728.75746
